InputID,Traveller_ID,Helpful_Votes
30151,151,8
30152,152,4
30153,153,12
30154,154,6
30155,155,4
30156,156,3
30157,157,9
30158,158,6
30159,159,2
30160,160,1
30161,161,2
30162,162,0
30163,163,1
30164,164,0
30165,165,0
30166,166,0
30167,167,0
30168,168,1
30169,48,1
30170,169,2
30171,170,1
30172,171,2
30173,172,0
30174,173,0
30175,174,1
30176,175,1
30177,176,3
30178,177,0
30179,178,1
30180,179,0
30181,180,3
30182,181,0
30183,182,13
30184,183,0
30185,184,2
30186,185,2
30187,186,0
30188,187,0
30189,188,0
30190,189,0
30191,190,0
30192,191,0
30193,192,1
30194,193,0
30195,194,1
30196,195,1
30197,196,1
30198,197,1
30199,198,2
30200,199,0
30201,200,0
30202,201,0
30203,202,0
30204,203,0
30205,204,0
30206,205,0
30207,206,0
30208,207,0
30209,208,0
30210,209,2
30211,210,1
30212,211,0
30213,212,0
30214,213,1
30215,214,1
30216,215,2
30217,216,1
30218,217,1
30219,218,0
30220,219,0
30221,220,0
30222,221,0
30223,222,1
30224,223,0
30225,224,0
30226,225,0
30227,226,1
30228,227,2
30229,228,2
30230,229,0
30231,230,3
30232,213,1
30233,231,1
30234,232,2
30235,233,0
30236,234,0
30237,235,0
30238,236,3
30239,237,1
30240,238,1
30241,239,2
30242,240,0
30243,241,1
30244,242,1
30245,243,0
30246,244,0
30247,245,2
30248,246,4
30249,247,0
30250,248,0
30251,249,0
30252,250,1
30253,251,0
30254,252,1
30255,253,1
30256,254,1
30257,255,0
30258,256,0
30259,257,0
30260,258,1
30261,259,2
30262,260,0
30263,261,1
30264,262,1
30265,263,0
30266,264,1
30267,265,0
30268,266,1
30269,267,0
30270,268,0
30271,269,0
30272,270,1
30273,271,0
30274,272,0
30275,273,0
30276,274,0
30277,275,0
30278,276,0
30279,277,0
30280,278,0
30281,279,1
30282,280,1
30283,281,0
30284,282,2
30285,283,1
30286,284,1
30287,285,0
30288,286,0
30289,287,2
30290,288,2
30291,289,2
30292,290,2
30293,291,1
30294,292,1
30295,293,2
30296,294,3
30297,295,1
30298,296,1
30299,297,1
30300,298,2
30301,299,1
30302,300,1
30303,301,3
30304,302,1
30305,303,1
30306,304,0
30307,305,0
30308,306,2
30309,307,0
30310,308,0
30311,309,3
30312,310,0
30313,311,2
30314,312,1
30315,313,0
30316,314,0
30317,315,0
30318,316,0
30319,317,0
30320,318,0
30321,319,1
30322,320,0
30323,321,1
30324,322,0
30325,323,2
30326,324,0
30327,325,1
30328,326,0
30329,327,0
30330,328,1
30331,329,0
30332,330,2
30333,331,0
30334,332,0
30335,333,1
30336,334,1
30337,335,0
30338,336,0
30339,337,0
30340,338,0
30341,339,0
30342,340,0
30343,341,0
30344,342,0
30345,343,1
30346,344,0
30347,345,1
30348,346,0
30349,347,0
30350,348,0
30351,349,0
30352,277,0
30353,350,0
30354,351,0
30355,352,0
30356,353,1
30357,354,0
30358,355,2
30359,356,0
30360,357,0
30361,358,0
30362,359,1
30363,360,2
30364,361,0
30365,362,0
30366,363,0
30367,364,0
30368,18,0
30369,365,1
30370,366,2
30371,367,0
30372,368,0
30373,369,0
30374,370,0
30375,371,1
30376,372,3
30377,373,0
30378,374,0
30379,375,0
30380,376,1
30381,377,0
30382,23,4
30383,378,0
30384,379,0
30385,380,1
30386,381,3
30387,382,0
30388,383,1
30389,319,1
30390,384,0
30391,385,0
30392,386,0
30393,387,0
30394,388,0
30395,389,0
30396,390,0
30397,391,0
30398,392,0
30399,393,1
30400,394,1
30401,395,0
30402,396,0
30403,397,1
30404,398,0
30405,399,1
30406,400,0
30407,401,2
30408,402,0
30409,403,1
30410,404,1
30411,405,1
30412,406,0
30413,407,1
30414,408,1
30415,409,1
30416,410,0
30417,411,0
30418,412,0
30419,413,0
30420,414,0
30421,415,1
30422,416,0
30423,417,0
30424,418,0
30425,419,1
30426,420,0
30427,421,0
30428,422,1
30429,423,2
30430,424,0
30431,425,0
30432,426,2
30433,427,1
30434,428,0
30435,429,2
30436,430,0
30437,431,1
30438,432,0
30439,433,1
30440,434,1
30441,435,1
30442,436,1
30443,437,0
30444,438,0
30445,439,2
30446,440,0
30447,441,1
30448,442,0
30449,443,0
30450,444,1
30451,445,1
30452,446,2
30453,447,0
30454,448,0
30455,449,2
30456,450,2
30457,451,0
30458,452,0
30459,453,1
30460,454,1
30461,455,0
30462,456,48
30463,457,2
30464,249,1
30465,458,0
30466,459,1
30467,460,0
30468,461,2
30469,462,1
30470,463,0
30471,464,0
30472,465,0
30473,466,0
30474,467,0
30475,468,0
30476,469,0
30477,470,2
30478,471,0
30479,472,0
30480,473,0
30481,474,0
30482,475,0
30483,476,1
30484,477,0
30485,478,2
30486,479,0
30487,480,2
30488,481,2
30489,304,1
30490,482,1
30491,483,2
30492,484,1
30493,485,1
30494,486,0
30495,487,2
30496,488,2
30497,489,1
30498,490,0
30499,491,3
30500,492,4
30501,493,1
30502,494,2
30503,495,0
30504,496,1
30505,497,1
30506,498,1
30507,499,1
30508,500,0
30509,501,1
30510,502,1
30511,503,1
30512,504,1
30513,505,0
30514,506,2
30515,507,0
30516,508,1
30517,509,0
30518,510,0
30519,511,1
30520,512,0
30521,368,0
30522,513,10
30523,514,9
30524,515,2
30525,516,3
30526,517,2
30527,518,2
30528,519,6
30529,520,0
30530,521,3
30531,522,0
30532,523,0
30533,524,3
30534,525,1
30535,526,2
30536,527,0
30537,528,1
30538,529,4
30539,530,0
30540,531,0
30541,532,0
30542,533,4
30543,534,1
30544,535,2
30545,536,3
30546,537,1
30547,538,1
30548,539,1
30549,540,0
30550,541,1
30551,542,0
30552,543,0
30553,544,2
30554,545,2
30555,546,2
30556,408,1
30557,547,0
30558,548,0
30559,549,0
30560,550,0
30561,551,2
30562,552,4
30563,553,1
30564,554,0
30565,555,0
30566,556,1
30567,557,1
30568,558,0
30569,559,3
30570,560,2
30571,561,1
30572,562,0
30573,563,0
30574,564,0
30575,565,0
30576,566,0
30577,567,3
30578,568,1
30579,569,0
30580,570,0
30581,571,4
30582,572,1
30583,573,4
30584,574,0
30585,575,0
30586,576,1
30587,577,0
30588,578,0
30589,579,0
30590,580,0
30591,581,0
30592,582,0
30593,583,0
30594,584,0
30595,585,0
30596,586,0
30597,587,1
30598,588,0
30599,589,2
30600,590,2
30601,591,1
30602,592,2
30603,593,0
30604,594,5
30605,595,0
30606,596,1
30607,597,2
30608,598,2
30609,599,0
30610,600,1
30611,601,0
30612,602,0
30613,603,0
30614,604,0
30615,605,1
30616,606,0
30617,607,0
30618,608,1
30619,609,1
30620,610,0
30621,611,1
