InputID,Traveller_ID,Traveller_Country,Photography,location_Type,Travel_Year,Travel_month,month,rating,sentiment_comments
20096,97,"United Kingdom","No photography",Beaches,2016,12,December,5,Positive
20097,98,"Sri Lanka","No photography",Beaches,2016,12,December,5,Neutral
41126,98,"Sri Lanka","No photography",Beaches,2015,9,September,3,Positive
20098,99,China,"No photography",Beaches,2016,8,August,5,Positive
41362,99,China,"No photography",Beaches,2019,7,July,5,Positive
20099,100,Indonesia,"No photography",Beaches,2016,11,November,5,Positive
30100,101,Austria,"No photography",Beaches,2016,11,November,3,Positive
30101,102,Germany,"No photography",Beaches,2016,10,October,5,Positive
30102,103,Australia,"No photography",Beaches,2016,10,October,3,Positive
30103,104,"United Kingdom","No photography",Beaches,2016,9,September,3,Positive
30104,105,"United Kingdom","No photography",Beaches,2016,8,August,3,Positive
30105,106,France,"No photography",Beaches,2015,8,August,3,Positive
30106,107,Australia,"No photography",Beaches,2015,8,August,4,Positive
30107,108,Switzerland,"No photography",Beaches,2015,8,August,4,Positive
30108,109,"United Kingdom","No photography",Beaches,2015,8,August,5,Positive
30109,110,"United Kingdom","No photography",Beaches,2015,7,July,2,Negative
30110,111,India,"No photography",Beaches,2015,7,July,5,Positive
30111,112,"United Kingdom","No photography",Beaches,2015,7,July,5,Positive
30112,113,"United Arab Emirates","No photography",Beaches,2015,6,June,5,Positive
42070,113,"United Arab Emirates","No photography",Beaches,2016,12,December,5,Positive
42334,113,"United Arab Emirates","No photography","Bodies of Water",2018,9,September,4,Positive
30113,114,Ukraine,"No photography",Beaches,2015,7,July,5,Positive
30114,115,"United Kingdom","No photography",Beaches,2014,10,October,3,Neutral
30115,116,Germany,"No photography",Beaches,2015,6,June,1,Positive
30116,117,Australia,"No photography",Beaches,2015,4,April,5,Positive
30117,118,"United Kingdom","No photography",Beaches,2015,3,March,4,Positive
30118,119,"United States","No photography",Beaches,2014,2,February,4,Positive
30119,120,Australia,"No photography",Beaches,2013,7,July,1,Positive
30133,120,Australia,"No photography",Beaches,2012,7,July,1,Positive
30120,121,Brazil,"No photography",Beaches,2013,8,August,4,Positive
30121,122,Australia,"No photography",Beaches,2013,7,July,5,Positive
30122,123,France,"No photography",Beaches,2013,8,August,5,Positive
30123,124,"United Arab Emirates","No photography",Beaches,2013,8,August,5,Positive
30124,125,Australia,"No photography",Beaches,2013,7,July,4,Positive
30125,126,"United Kingdom","No photography",Beaches,2013,7,July,2,Positive
30126,127,"United Arab Emirates","No photography",Beaches,2012,8,August,4,Positive
30127,128,"United Kingdom","No photography",Beaches,2013,5,May,5,Positive
30128,129,Australia,"No photography",Beaches,2013,4,April,3,Positive
30129,130,Australia,"No photography",Beaches,2012,5,May,4,Positive
30130,131,Thailand,"No photography",Beaches,2012,5,May,5,Positive
30131,132,Italy,"No photography",Beaches,2013,4,April,1,Positive
30132,133,"United Kingdom","No photography",Beaches,2013,4,April,5,Positive
30134,134,Norway,"No photography",Beaches,2013,1,January,3,Positive
30135,135,France,"No photography",Beaches,2012,10,October,5,Positive
30136,136,Australia,"No photography",Beaches,2012,9,September,4,Positive
30137,137,"United Kingdom","No photography",Beaches,2011,10,October,4,Positive
30138,138,Singapore,"No photography",Beaches,2012,7,July,5,Positive
30139,139,Switzerland,"No photography",Beaches,2012,7,July,3,Positive
