InputID,Traveller_ID,activity,Traveller_Country,City,location_Type,rating,sentiment_comments,Travel_Year,Travel_month,month
52550,9071,Wildlife_photography,"United Arab Emirates",Pussellawa,Waterfalls,3,positive,2015,5,May
52557,9076,Wildlife_photography,Australia,Pussellawa,Waterfalls,5,positive,2015,1,January
52623,9108,Wildlife_photography,"United Kingdom",Ella,Waterfalls,5,positive,2020,1,January
52636,9116,Wildlife_photography,"United Arab Emirates",Ella,Waterfalls,4,positive,2019,10,October
52686,9132,Wildlife_photography,"United Kingdom",Ella,Waterfalls,5,positive,2018,11,November
52767,9166,Wildlife_photography,"United Kingdom",Ella,Waterfalls,3,positive,2018,11,November
52829,9185,Wildlife_photography,Canada,"Nuwara Eliya",Waterfalls,4,positive,2016,6,June
52914,9212,Wildlife_photography,Australia,"Nuwara Eliya",Waterfalls,4,positive,2016,1,January
52994,9263,Wildlife_photography,Singapore,Colombo,"Zoological Gardens",5,positive,2015,5,May
53013,9278,Wildlife_photography,"United Kingdom",Colombo,"Zoological Gardens",5,positive,2014,7,July
53938,9643,Wildlife_photography,"United Kingdom",Anuradhapura,"Religious Sites",5,positive,2018,2,February
54860,9968,Wildlife_photography,"United Kingdom",Colombo,"Religious Sites",4,positive,2019,11,November
54909,9991,Wildlife_photography,"United Kingdom",Colombo,"Religious Sites",1,negative,2019,4,April
55025,10054,Wildlife_photography,"United Kingdom",Colombo,"Religious Sites",4,positive,2018,12,December
55426,10194,Wildlife_photography,India,Habarana,"Religious Sites",4,positive,2018,8,August
55511,10225,Wildlife_photography,Canada,Habarana,"Religious Sites",5,positive,2018,12,December
55519,10229,Wildlife_photography,"United Kingdom",Habarana,"Religious Sites",5,positive,2018,11,November
55592,10249,Wildlife_photography,"United Kingdom",Habarana,"Religious Sites",4,positive,2019,12,December
