InputID,Traveller_ID,Photography,Travel_Year,Travel_month,month,rating
51708,1223,photography,2019,3,March,5
51709,8634,"No photography",2019,3,March,4
51710,8635,"No photography",2019,3,March,5
51711,8636,"No photography",2019,2,February,3
51712,8637,"No photography",2019,3,March,2
51713,7477,"No photography",2019,3,March,5
51714,8638,"No photography",2019,3,March,3
51715,4869,"No photography",2019,3,March,2
51716,8639,"No photography",2019,2,February,5
51717,5250,"No photography",2019,3,March,5
51718,8640,"No photography",2019,2,February,3
51719,8641,"No photography",2019,2,February,4
51720,8642,"No photography",2019,2,February,5
51721,8643,"No photography",2019,2,February,5
51722,7114,"No photography",2019,2,February,4
51723,8644,"No photography",2019,2,February,3
51724,8645,"No photography",2019,2,February,4
51725,8646,"No photography",2019,2,February,5
51726,2540,"No photography",2019,1,January,5
51727,4008,"No photography",2019,1,January,4
51728,8647,"No photography",2019,1,January,3
51729,8648,photography,2019,2,February,3
51730,2541,"No photography",2019,1,January,5
51731,8649,"No photography",2019,1,January,4
51732,316,"No photography",2019,1,January,5
51733,2248,"No photography",2019,1,January,5
51734,8650,"No photography",2019,1,January,5
51735,8651,"No photography",2018,12,December,5
51736,5541,photography,2018,12,December,5
51737,2173,"No photography",2018,12,December,5
51738,7523,"No photography",2018,12,December,5
51739,8652,"No photography",2018,2,February,5
51740,8653,"No photography",2018,12,December,2
51741,626,"No photography",2018,12,December,4
51742,8654,"No photography",2018,7,July,3
51743,8655,"No photography",2018,8,August,5
51744,4023,"No photography",2018,8,August,5
51745,8656,"No photography",2018,8,August,5
51746,8657,"No photography",2018,8,August,5
51747,8658,"No photography",2018,8,August,1
51748,8659,"No photography",2018,8,August,3
51749,7943,"No photography",2018,7,July,3
51750,5652,"No photography",2018,4,April,3
51751,7151,"No photography",2018,7,July,5
51752,2077,"No photography",2018,7,July,4
51753,2459,"No photography",2018,7,July,4
51754,5676,"No photography",2018,3,March,4
51755,8660,"No photography",2018,4,April,5
51756,8661,"No photography",2018,3,March,5
51757,8662,"No photography",2018,2,February,4
51758,8663,"No photography",2018,1,January,3
51759,8664,"No photography",2018,3,March,5
51760,8665,"No photography",2018,3,March,4
51761,1455,"No photography",2018,3,March,5
51762,8666,"No photography",2018,2,February,4
51763,348,"No photography",2018,2,February,2
51764,5297,photography,2018,2,February,4
51765,6728,"No photography",2018,1,January,5
51766,8667,"No photography",2018,2,February,5
51767,5373,"No photography",2018,2,February,5
51768,8668,"No photography",2018,1,January,5
51769,2630,"No photography",2017,3,March,5
51770,8669,"No photography",2017,8,August,5
51771,7654,"No photography",2017,7,July,5
51772,8670,"No photography",2017,8,August,1
51773,8671,"No photography",2017,8,August,5
51774,8672,"No photography",2017,8,August,4
51775,8673,"No photography",2017,7,July,4
51776,8674,"No photography",2017,7,July,5
51777,7141,"No photography",2017,3,March,4
51778,1744,"No photography",2017,2,February,5
51779,1744,"No photography",2017,2,February,5
51780,8675,photography,2017,6,June,4
51781,1949,"No photography",2017,5,May,5
51782,8676,"No photography",2017,5,May,4
51783,8677,"No photography",2017,5,May,1
51784,8678,"No photography",2017,11,November,5
51785,8679,photography,2017,11,November,3
